INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-09-01T14:00:00-00:00,2023-09-01T15:00:00-00:00,2023-09-01,8,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,40.21144,1
2023-09-01T17:00:00-00:00,2023-09-01T18:00:00-00:00,2023-09-01,11,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,32.5464,1
2023-09-01T20:00:00-00:00,2023-09-01T21:00:00-00:00,2023-09-01,14,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,33.2991,1
2023-09-01T23:00:00-00:00,2023-09-02T00:00:00-00:00,2023-09-01,17,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,37.79688,1
2023-09-02T03:00:00-00:00,2023-09-02T04:00:00-00:00,2023-09-01,21,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,52.70215,1
2023-09-02T06:00:00-00:00,2023-09-02T07:00:00-00:00,2023-09-01,24,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,44.19911,1
2023-09-02T02:00:00-00:00,2023-09-02T03:00:00-00:00,2023-09-01,20,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,56.00515,1
2023-09-01T08:00:00-00:00,2023-09-01T09:00:00-00:00,2023-09-01,2,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,40.2666,1
2023-09-02T01:00:00-00:00,2023-09-02T02:00:00-00:00,2023-09-01,19,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,52.66914,1
2023-09-01T22:00:00-00:00,2023-09-01T23:00:00-00:00,2023-09-01,16,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,38.8416,1
2023-09-02T00:00:00-00:00,2023-09-02T01:00:00-00:00,2023-09-01,18,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,48.95107,1
2023-09-01T13:00:00-00:00,2023-09-01T14:00:00-00:00,2023-09-01,7,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,44.51607,1
2023-09-01T18:00:00-00:00,2023-09-01T19:00:00-00:00,2023-09-01,12,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,31.94316,1
2023-09-01T21:00:00-00:00,2023-09-01T22:00:00-00:00,2023-09-01,15,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,34.60794,1
2023-09-01T07:00:00-00:00,2023-09-01T08:00:00-00:00,2023-09-01,1,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,42.87095,1
2023-09-01T11:00:00-00:00,2023-09-01T12:00:00-00:00,2023-09-01,5,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,38.37715,1
2023-09-01T12:00:00-00:00,2023-09-01T13:00:00-00:00,2023-09-01,6,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,45.04882,1
2023-09-01T15:00:00-00:00,2023-09-01T16:00:00-00:00,2023-09-01,9,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,33.56179,1
2023-09-02T04:00:00-00:00,2023-09-02T05:00:00-00:00,2023-09-01,22,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,52.06802,1
2023-09-01T09:00:00-00:00,2023-09-01T10:00:00-00:00,2023-09-01,3,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,39.83722,1
2023-09-01T16:00:00-00:00,2023-09-01T17:00:00-00:00,2023-09-01,10,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,33.47682,1
2023-09-02T05:00:00-00:00,2023-09-02T06:00:00-00:00,2023-09-01,23,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,48.07797,1
2023-09-01T10:00:00-00:00,2023-09-01T11:00:00-00:00,2023-09-01,4,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,38.07717,1
2023-09-01T19:00:00-00:00,2023-09-01T20:00:00-00:00,2023-09-01,13,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,LMP,LMP_PRC,FREMNT_1_N013,ALL,1,32.18157,1
2023-09-01T21:00:00-00:00,2023-09-01T22:00:00-00:00,2023-09-01,15,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-02T02:00:00-00:00,2023-09-02T03:00:00-00:00,2023-09-01,20,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,-0.2856,2
2023-09-01T10:00:00-00:00,2023-09-01T11:00:00-00:00,2023-09-01,4,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T11:00:00-00:00,2023-09-01T12:00:00-00:00,2023-09-01,5,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-02T04:00:00-00:00,2023-09-02T05:00:00-00:00,2023-09-01,22,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T23:00:00-00:00,2023-09-02T00:00:00-00:00,2023-09-01,17,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T20:00:00-00:00,2023-09-01T21:00:00-00:00,2023-09-01,14,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0.72843,2
2023-09-01T17:00:00-00:00,2023-09-01T18:00:00-00:00,2023-09-01,11,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,3.0273,2
2023-09-01T09:00:00-00:00,2023-09-01T10:00:00-00:00,2023-09-01,3,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-02T01:00:00-00:00,2023-09-02T02:00:00-00:00,2023-09-01,19,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T22:00:00-00:00,2023-09-01T23:00:00-00:00,2023-09-01,16,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T15:00:00-00:00,2023-09-01T16:00:00-00:00,2023-09-01,9,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0.08761,2
2023-09-01T18:00:00-00:00,2023-09-01T19:00:00-00:00,2023-09-01,12,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,2.02097,2
2023-09-01T14:00:00-00:00,2023-09-01T15:00:00-00:00,2023-09-01,8,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-02T06:00:00-00:00,2023-09-02T07:00:00-00:00,2023-09-01,24,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T07:00:00-00:00,2023-09-01T08:00:00-00:00,2023-09-01,1,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-02T03:00:00-00:00,2023-09-02T04:00:00-00:00,2023-09-01,21,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T16:00:00-00:00,2023-09-01T17:00:00-00:00,2023-09-01,10,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,2.09598,2
2023-09-01T13:00:00-00:00,2023-09-01T14:00:00-00:00,2023-09-01,7,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T12:00:00-00:00,2023-09-01T13:00:00-00:00,2023-09-01,6,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-02T05:00:00-00:00,2023-09-02T06:00:00-00:00,2023-09-01,23,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T08:00:00-00:00,2023-09-01T09:00:00-00:00,2023-09-01,2,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-02T00:00:00-00:00,2023-09-02T01:00:00-00:00,2023-09-01,18,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,0,2
2023-09-01T19:00:00-00:00,2023-09-01T20:00:00-00:00,2023-09-01,13,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCC,LMP_CONG_PRC,FREMNT_1_N013,ALL,1,1.71866,2
2023-09-02T00:00:00-00:00,2023-09-02T01:00:00-00:00,2023-09-01,18,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,49.61089,3
2023-09-01T14:00:00-00:00,2023-09-01T15:00:00-00:00,2023-09-01,8,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,39.08577,3
2023-09-02T01:00:00-00:00,2023-09-02T02:00:00-00:00,2023-09-01,19,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,53.96428,3
2023-09-01T11:00:00-00:00,2023-09-01T12:00:00-00:00,2023-09-01,5,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,38.15964,3
2023-09-01T20:00:00-00:00,2023-09-01T21:00:00-00:00,2023-09-01,14,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,31.46316,3
2023-09-01T09:00:00-00:00,2023-09-01T10:00:00-00:00,2023-09-01,3,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,39.83323,3
2023-09-01T12:00:00-00:00,2023-09-01T13:00:00-00:00,2023-09-01,6,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,44.44877,3
2023-09-02T05:00:00-00:00,2023-09-02T06:00:00-00:00,2023-09-01,23,0,FREMNT_1_N013,FREMNT_1_N013,FREMNT_1_N013,DAM,MCE,LMP_ENE_PRC,FREMNT_1_N013,ALL,1,48.82003,3
